Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 21:57,196.13,187.96,55.2,"3,242.72",50,676.58,"4,170.30",170.4,195.42,0.64
2/18/2021 22:07,198.25,189.84,54.76,"3,242.72",49.99,675.98,"4,169.14",170.39,195.35,0.61
2/18/2021 22:17,195.8,187.4,54.96,"3,244.46",50.02,675.39,"4,167.72",170.38,195.24,0.65
2/18/2021 22:27,197.05,188.79,54.77,"3,244.46",50.01,675.33,"4,169.05",170.38,195.64,0.62
2/18/2021 22:37,200.51,191.64,55.4,"3,244.46",49.99,675.35,"4,173.06",170.38,195.48,0.58
2/18/2021 22:47,197.31,189.5,55.03,"3,246.21",50.01,675.53,"4,170.15",170.39,195.53,0.62
2/18/2021 22:57,196.22,187.73,54.88,"3,244.46",50.02,674.73,"4,167.36",170.39,195.47,0.64
2/18/2021 23:07,198.75,190.14,54.56,"3,243.59",50,675.62,"4,172.33",170.4,195.58,0.61
2/18/2021 23:17,202.58,194.64,54.84,"3,245.33",50.02,676.56,"4,178.36",170.39,195.42,0.56
2/18/2021 23:27,197.56,189.15,54.92,"3,243.59",50.04,676.23,"4,172.50",170.38,195.53,0.62
2/18/2021 23:37,197.85,189.47,54.89,"3,243.59",50.02,675.65,"4,171.94",170.39,195.35,0.61
2/18/2021 23:47,196.39,187.89,54.99,"3,242.72",49.99,675.46,"4,169.70",170.38,195.58,0.64
2/18/2021 23:57,198.49,190.24,54.28,"3,243.59",50.04,676.34,"4,174.05",170.39,195.33,0.63
2/19/2021 0:07,196.04,187.55,55.03,"3,244.46",49.99,675.31,"4,171.90",170.39,195.24,0.63
2/19/2021 0:17,196.94,188.5,54.97,"3,243.59",49.97,675.47,"4,172.68",170.39,195.39,0.6
2/19/2021 0:27,196.34,187.82,55.46,"3,244.46",49.98,675.21,"4,171.56",170.37,195.27,0.65
2/19/2021 0:37,197.39,188.93,54.23,"3,246.21",50,675.38,"4,173.21",170.38,195.52,0.64
2/19/2021 0:47,202.22,194.55,54.98,"3,243.59",50.01,676.54,"4,177.91",170.38,195.47,0.65
2/19/2021 0:57,194.16,185.49,54.49,"3,244.46",49.99,675.48,"4,169.14",170.38,195.46,0.58
