Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 21:28,191.05,190.7,71.01,"3,391.50",50,"1,527.54","4,011.38",182.51,203.13,0.13
2/18/2021 21:38,190.83,190.91,71.16,"3,397.45",50.01,"1,527.49","4,011.32",182.5,203.22,0.13
2/18/2021 21:48,190.79,191.03,71.4,"3,391.50",50,"1,527.38","4,011.43",182.5,203.03,0.14
2/18/2021 21:58,190.75,190.77,71.5,"3,397.45",50.01,"1,527.38","4,011.19",182.5,203.22,0.14
2/18/2021 22:08,190.81,190.88,71.57,"3,394.90",50,"1,527.33","4,011.39",182.49,203.31,0.13
2/18/2021 22:18,190.77,190.8,71.11,"3,391.50",50.01,"1,527.54","4,011.20",182.49,203.08,0.14
2/18/2021 22:28,190.91,191.05,71.55,"3,394.05",50,"1,527.29","4,012.31",182.5,203.34,0.13
2/18/2021 22:38,191.28,191.03,71.18,"3,394.90",50.02,"1,527.26","4,011.78",182.52,203.26,0.14
2/18/2021 22:48,191.37,190.96,71.52,"3,397.45",49.99,"1,527.22","4,011.71",182.49,203.08,0.13
2/18/2021 22:58,191.58,191.01,71.24,"3,393.20",50.01,"1,527.33","4,011.52",182.49,203.08,0.13
2/18/2021 23:08,191.97,190.82,71.45,"3,392.35",50.01,"1,527.45","4,011.47",182.5,203.1,0.13
2/18/2021 23:18,192.2,191.12,71.3,"3,396.60",49.99,"1,527.30","4,011.87",182.51,203.03,0.13
2/18/2021 23:28,192.34,190.94,71.25,"3,393.20",50.01,"1,527.41","4,011.55",182.5,203.22,0.14
2/18/2021 23:38,192.34,190.95,71.49,"3,397.45",49.99,"1,527.60","4,011.10",182.49,203.2,0.14
2/18/2021 23:48,192.49,191.09,71.31,"3,394.90",50.01,"1,527.32","4,011.51",182.5,203.18,0.14
2/18/2021 23:58,192.33,191.11,71.22,"3,394.90",50,"1,527.54","4,012.11",182.5,203.14,0.13
2/19/2021 0:08,192.3,191.25,71.56,"3,395.75",49.99,"1,527.25","4,011.70",182.51,203.07,0.13
2/19/2021 0:18,192.49,191.5,71.2,"3,395.75",50,"1,527.57","4,011.88",182.49,203.12,0.13
2/19/2021 0:28,192.97,191.4,71.25,"3,393.20",50.02,"1,527.41","4,011.75",182.5,203.07,0.13
2/19/2021 0:38,193.48,191.45,71.3,"3,394.90",50,"1,527.39","4,011.92",182.49,203.04,0.13
2/19/2021 0:48,193.55,191.17,71.23,"3,394.05",50,"1,527.43","4,011.79",182.5,203.16,0.14
2/19/2021 0:58,193.44,191.04,71.18,"3,394.90",50,"1,527.41","4,011.97",182.49,203.12,0.13
2/19/2021 1:08,193.1,191.12,71.4,"3,393.20",50.02,"1,527.11","4,011.70",182.5,203.01,0.13
2/19/2021 1:18,192.57,191.03,71.67,"3,397.45",50,"1,527.37","4,012.14",182.49,203.17,0.13
2/19/2021 1:28,192.29,191.1,71.1,"3,394.05",50.01,"1,527.38","4,011.44",182.49,203.09,0.13
2/19/2021 1:38,192.23,191,71.2,"3,393.20",49.99,"1,527.35","4,011.83",182.52,203.15,0.13
2/19/2021 1:48,191.81,190.76,71.29,"3,393.20",50.01,"1,527.37","4,011.45",182.5,203.1,0.14
2/19/2021 1:58,191.67,190.8,71.4,"3,392.35",50,"1,527.33","4,011.71",182.5,203.25,0.13
2/19/2021 2:08,191.79,191.03,71.48,"3,394.90",50,"1,527.05","4,011.52",182.48,203.13,0.14
2/19/2021 2:18,192.12,190.91,71.34,"3,393.20",49.98,"1,527.44","4,011.59",182.49,203.13,0.14
2/19/2021 2:28,192.39,190.97,71.02,"3,394.90",50,"1,527.22","4,011.54",182.51,203.17,0.14
2/19/2021 2:38,192.64,190.89,71.29,"3,396.60",50,"1,527.27","4,011.40",182.52,203.07,0.14
