Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 21:36:00,577.4299926757812,368.1799926757813,79.37999725341797,2092.989990234375,45.0,991.239990234375,4474.56005859375,178.77999877929688,220.5,0.8500000238418579,1,1,1,1,1,1,1,1,1,1,-0.46516188759906435,0.6737422372278519,1
2021-02-18 21:46:00,578.2100219726562,368.1199951171875,79.41000366210938,2093.580078125,45.0,990.5999755859376,4474.9599609375,178.77000427246094,220.47999572753903,0.7799999713897705,1,1,1,1,1,1,1,1,1,1,-0.4612464803774957,0.6446056771571609,1
2021-02-18 21:56:00,578.030029296875,367.5899963378906,79.37999725341797,2092.989990234375,45.0,989.9500122070312,4474.2001953125,178.77999877929688,220.5399932861328,0.7599999904632568,1,1,1,1,1,1,1,1,1,1,-0.44559201830105394,0.6260568228463623,1
2021-02-18 22:06:00,577.3699951171875,367.8900146484375,79.44000244140625,2092.989990234375,45.0099983215332,989.530029296875,4473.509765625,178.7899932861328,220.509994506836,0.8399999737739563,1,1,1,1,1,1,1,1,1,1,-0.45824589474329425,0.5830653474749384,1
2021-02-18 22:16:00,577.6300048828125,368.6300048828125,79.44000244140625,2093.580078125,45.0,989.010009765625,4473.39013671875,178.77999877929688,220.5200042724609,0.7900000214576721,1,1,1,1,1,1,1,1,1,1,-0.44182759597479954,0.5680198680356517,1
2021-02-18 22:26:00,578.97998046875,370.4200134277344,79.38999938964844,2092.989990234375,45.0,988.6699829101562,4475.2001953125,178.77999877929688,220.6600036621093,0.7599999904632568,1,1,1,1,1,1,1,1,1,1,-0.44622087423648304,0.5795869119815905,1
2021-02-18 22:36:00,578.5800170898438,369.5700073242188,79.44000244140625,2093.580078125,45.0,988.510009765625,4474.91015625,178.77000427246094,220.52999877929688,0.7599999904632568,1,1,1,1,1,1,1,1,1,1,-0.43991052997446095,0.5598815387695142,1
2021-02-18 22:46:00,580.6599731445312,372.1400146484375,79.48999786376953,2093.580078125,45.0,988.4099731445312,4477.58984375,178.74000549316406,220.52999877929688,0.7900000214576721,1,1,1,1,1,1,1,1,1,1,-0.4624133347924963,0.5554521157800391,1
2021-02-18 22:56:00,581.75,373.5400085449219,79.33000183105469,2092.989990234375,45.0099983215332,988.5,4479.31982421875,178.77000427246094,220.4199981689453,0.8199999928474426,1,1,1,1,1,1,1,1,1,1,-0.41744051114665354,0.6262189293649,1
2021-02-18 23:06:00,583.739990234375,375.4400024414063,79.33000183105469,2094.179931640625,45.0,988.719970703125,4481.35009765625,178.77000427246094,220.4900054931641,0.7799999713897705,1,1,1,1,1,1,1,1,1,1,-0.4337867174383987,0.6455102405633825,1
2021-02-18 23:16:00,585.489990234375,377.6499938964844,79.38999938964844,2092.989990234375,45.0,989.0599975585938,4484.10009765625,178.77999877929688,220.44000244140625,0.6899999976158142,1,1,1,1,1,1,1,1,1,1,-0.4676174931480708,0.6517421623730117,1
2021-02-18 23:26:00,585.7999877929688,378.0899963378906,79.33999633789062,2092.989990234375,45.0,989.27001953125,4484.60986328125,178.77000427246094,220.3800048828125,0.6800000071525574,1,1,1,1,1,1,1,1,1,1,-0.44833742798063064,0.6833214239170154,1
2021-02-18 23:36:00,584.1900024414062,375.2900085449219,79.33000183105469,2094.77001953125,45.0099983215332,989.5900268554688,4483.77978515625,178.75,220.4900054931641,0.7699999809265137,1,1,1,-1,1,1,1,1,1,1,-0.46405095412261843,0.6874555916965818,1
2021-02-18 23:46:00,581.97998046875,372.2300109863281,79.41000366210938,2094.179931640625,45.0,989.52001953125,4481.3701171875,178.75999450683594,220.3699951171875,0.6899999976158142,1,1,1,1,1,1,1,1,1,1,-0.45705166917360396,0.6489303700763257,1
2021-02-18 23:56:00,580.0399780273438,370.239990234375,79.41000366210938,2093.580078125,45.0,989.4000244140624,4479.68994140625,178.72999572753906,220.3300018310547,0.6899999976158142,1,1,1,1,1,1,1,-1,1,1,-0.43698141420347647,0.6391808923071017,1
