Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 22:18:00,124.79000091552734,122.25,39.70000076293945,2110.39990234375,49.0,941.2999877929688,3499.699951171875,176.5,183.1999969482422,3.650000095367432,-1,-1,1,1,1,1,1,-1,1,-1,1.6690370612453895,-0.12870919234806638,1
2021-02-18 22:28:00,124.19000244140624,121.9499969482422,39.40999984741211,2110.39990234375,49.0,940.8599853515624,3500.89990234375,176.4499969482422,183.1999969482422,3.849999904632568,1,1,1,1,1,1,1,1,1,1,1.5013411319997199,-0.9658164259879674,1
2021-02-18 22:38:00,124.05999755859376,121.66999816894533,39.79999923706055,2110.39990234375,49.0,941.2999877929688,3500.889892578125,176.4499969482422,183.1999969482422,3.940000057220459,1,1,1,1,1,1,1,1,1,1,1.3651839997141195,-0.21415251708363175,1
2021-02-18 22:48:00,123.6500015258789,121.37000274658205,39.400001525878906,2110.39990234375,49.0,941.1500244140624,3499.719970703125,176.4499969482422,183.1999969482422,3.7699999809265137,1,1,1,1,1,1,1,1,1,1,1.487227069162737,-0.9908901447278238,1
2021-02-18 22:58:00,123.62000274658205,121.1500015258789,39.75,2110.39990234375,49.0,941.0,3500.0,176.4600067138672,183.1999969482422,3.910000085830689,1,1,1,1,1,1,1,1,1,1,1.2638986691393879,-0.2600837874818552,1
2021-02-18 23:08:00,123.37999725341795,121.02999877929688,39.540000915527344,2110.39990234375,49.0,940.8599853515624,3499.419921875,176.47999572753906,183.1999969482422,4.130000114440918,1,1,1,1,1,1,1,1,1,-1,1.4521496562943206,-0.5540439620299491,1
2021-02-18 23:18:00,123.01000213623048,120.6500015258789,40.06999969482422,2110.39990234375,49.0,941.0,3498.969970703125,176.49000549316406,183.1999969482422,4.039999961853027,1,1,1,1,1,1,1,1,1,1,1.118192434101611,0.5196546631083933,1
2021-02-18 23:28:00,122.95999908447266,120.5,39.060001373291016,2110.39990234375,49.0,940.719970703125,3498.969970703125,176.47999572753906,183.259994506836,3.869999885559082,1,1,-1,1,1,1,1,1,-1,1,2.0870685039645447,6.239765125961747,-1
2021-02-18 23:38:00,122.41999816894533,120.25,39.91999816894531,2110.39990234375,49.0,940.5800170898438,3498.3798828125,176.47000122070312,183.1999969482422,4.059999942779541,1,1,1,1,1,1,1,1,1,1,0.8667168105838765,0.11173453988010598,1
2021-02-18 23:48:00,122.4800033569336,120.1999969482422,39.20000076293945,2110.39990234375,49.0,940.4400024414062,3498.239990234375,176.47000122070312,183.1999969482422,3.619999885559082,1,1,-1,1,1,1,1,1,1,-1,1.3534967964058437,-1.27374566043383,1
2021-02-18 23:58:00,122.41000366210938,119.93000030517578,39.869998931884766,2110.39990234375,49.0,940.1599731445312,3498.389892578125,176.4600067138672,183.1999969482422,4.059999942779541,1,1,1,1,1,1,1,1,1,1,0.6765761251823903,-0.04324855518299628,1
2021-02-19 00:08:00,122.45999908447266,119.91999816894533,39.41999816894531,2110.39990234375,49.0,940.4400024414062,3498.10009765625,176.4600067138672,183.1999969482422,4.130000114440918,1,1,1,1,1,1,1,1,1,-1,1.0966629237711645,-0.9086821525240885,1
2021-02-19 00:18:00,122.4800033569336,119.8499984741211,39.72999954223633,2110.39990234375,49.0,940.2999877929688,3497.219970703125,176.4499969482422,183.1999969482422,4.110000133514404,1,1,1,1,1,1,1,1,1,-1,0.6354908958308944,-0.3758952827102282,1
2021-02-19 00:28:00,122.5199966430664,119.6500015258789,39.77999877929688,2110.39990234375,49.0,940.02001953125,3497.389892578125,176.47000122070312,183.1999969482422,4.199999809265137,1,1,1,1,1,1,1,1,1,-1,0.6540164427287123,-0.1660742804439867,1
2021-02-19 00:38:00,122.08000183105467,119.68000030517578,39.77000045776367,2110.39990234375,49.0,940.1599731445312,3497.5400390625,176.47999572753906,183.1999969482422,4.079999923706055,1,1,1,1,1,1,1,1,1,1,0.8027806537854759,-0.1267588208362757,1
2021-02-19 00:48:00,121.88999938964844,119.62999725341795,39.459999084472656,2110.39990234375,49.0,940.2999877929688,3498.10009765625,176.4499969482422,183.1999969482422,3.910000085830689,1,1,1,1,1,1,1,1,1,1,0.9413047289183268,-0.8894952383402898,1
2021-02-19 00:58:00,121.8499984741211,119.62999725341795,39.59999847412109,2110.39990234375,49.0,940.2999877929688,3498.10009765625,176.47999572753906,183.1999969482422,4.059999942779541,1,1,1,1,1,1,1,1,1,1,1.0486757471183903,-0.4494426780864059,1
2021-02-19 01:08:00,122.13999938964844,119.66000366210938,39.83000183105469,2110.39990234375,49.0,940.1599731445312,3496.800048828125,176.47999572753906,183.1999969482422,4.059999942779541,1,1,1,1,1,1,1,1,1,1,0.6743949878455908,-0.015956317565993684,1
2021-02-19 01:18:00,121.91000366210938,119.58999633789062,39.400001525878906,2110.39990234375,49.0,939.739990234375,3496.360107421875,176.4600067138672,183.1999969482422,4.019999980926514,1,1,1,1,1,1,1,1,1,1,0.6555259906770455,-0.9610774780079167,1
2021-02-19 01:28:00,122.37000274658205,119.7699966430664,39.84999847412109,2110.39990234375,49.0,940.4400024414062,3495.949951171875,176.4499969482422,183.1999969482422,3.9600000381469727,1,1,1,1,1,1,1,1,1,1,0.454715947843366,-0.15235107129781222,1
2021-02-19 01:38:00,122.5500030517578,119.91999816894533,39.40999984741211,2110.39990234375,49.0,940.02001953125,3497.929931640625,176.47000122070312,183.1999969482422,3.829999923706055,1,1,1,1,1,1,1,1,1,1,0.9991643445333094,-0.8739713065591151,1
2021-02-19 01:48:00,122.54000091552734,119.87999725341795,39.66999816894531,2110.39990234375,49.0,939.8800048828124,3497.090087890625,176.4600067138672,183.1999969482422,3.829999923706055,1,1,1,1,1,1,1,1,1,1,0.5811169270967245,-0.4369655714366712,1
2021-02-19 01:58:00,122.45999908447266,119.9000015258789,39.630001068115234,2110.39990234375,49.0,940.02001953125,3497.820068359375,176.47000122070312,183.1999969482422,3.940000057220459,1,1,1,1,1,1,1,1,1,1,0.8173864032056223,-0.4517626182577192,1
2021-02-19 02:08:00,122.48999786376952,119.91999816894533,39.65999984741211,2110.39990234375,49.0,940.02001953125,3497.3701171875,176.47999572753906,183.1999969482422,4.050000190734863,1,1,1,1,1,1,1,1,1,1,0.8160461567850867,-0.33990059776472475,1
2021-02-19 02:18:00,122.4499969482422,119.88999938964844,39.650001525878906,2110.39990234375,49.0,940.1599731445312,3497.090087890625,176.4600067138672,183.1999969482422,4.03000020980835,1,1,1,1,1,1,1,1,1,1,0.7018859091900966,-0.4740809546921076,1
2021-02-19 02:28:00,122.47000122070312,120.19000244140624,39.7599983215332,2110.39990234375,49.0,940.4400024414062,3497.090087890625,176.47000122070312,183.1999969482422,3.9700000286102295,1,1,1,1,1,1,1,1,1,1,0.7942006911617808,-0.2043716260102677,1
2021-02-19 02:38:00,122.62000274658205,120.25,39.61000061035156,2110.39990234375,49.0,940.5800170898438,3497.949951171875,176.47999572753906,183.1999969482422,3.869999885559082,1,1,1,1,1,1,1,1,1,1,1.1296782965018746,-0.4298141097381976,1
2021-02-19 02:48:00,122.97000122070312,120.47000122070312,39.59000015258789,2110.39990234375,49.0,940.5800170898438,3498.669921875,176.49000549316406,183.1999969482422,4.010000228881836,1,1,1,1,1,1,1,1,1,1,1.2968432598091162,-0.406809396893747,1
2021-02-19 02:58:00,123.0500030517578,120.5,39.65999984741211,2110.39990234375,49.0,940.2999877929688,3497.679931640625,176.44000244140625,183.1999969482422,3.9800000190734863,1,1,1,1,1,1,1,1,1,1,0.6687761109328465,-0.5645848679469541,1
2021-02-19 03:08:00,122.93000030517578,120.73999786376952,39.540000915527344,2110.39990234375,49.0,940.4400024414062,3498.5400390625,176.47999572753906,183.2400054931641,3.940000057220459,1,1,1,1,1,1,1,1,-1,1,1.4415402761670728,4.586474424176343,1
2021-02-19 03:18:00,123.55999755859376,120.95999908447266,39.630001068115234,2110.39990234375,49.0,940.8599853515624,3498.830078125,176.42999267578125,183.1999969482422,4.039999961853027,1,1,1,1,1,1,1,-1,1,1,0.958457466588179,-0.669603012036644,1
2021-02-19 03:28:00,123.66999816894533,121.31999969482422,39.560001373291016,2110.39990234375,49.0,940.8599853515624,3500.449951171875,176.47999572753906,183.1999969482422,3.910000085830689,1,1,1,1,1,1,1,1,1,1,1.5510601450685628,-0.5092929247390017,1
2021-02-19 03:38:00,124.12000274658205,121.31999969482422,39.93000030517578,2110.39990234375,49.0,941.010009765625,3499.409912109375,176.49000549316406,183.1999969482422,3.930000066757202,1,1,1,1,1,1,1,1,1,1,1.2787060873466756,0.2532919199057736,1
2021-02-19 03:48:00,124.19000244140624,121.61000061035156,39.310001373291016,2110.39990234375,49.0,941.1500244140624,3499.27001953125,176.4600067138672,183.1999969482422,3.799999952316284,1,1,-1,1,1,1,1,1,1,1,1.578495210246723,-1.109600395151019,1
2021-02-19 03:58:00,124.0500030517578,121.58000183105467,39.79999923706055,2110.39990234375,49.0,941.0,3500.75,176.4600067138672,183.1999969482422,3.839999914169312,1,1,1,1,1,1,1,1,1,1,1.3086034952913763,-0.15938432664425664,1
2021-02-19 04:08:00,124.0999984741211,121.61000061035156,39.52999877929688,2110.39990234375,49.0,941.2999877929688,3500.739990234375,176.4600067138672,183.1999969482422,3.900000095367432,1,1,1,1,1,1,1,1,1,1,1.6285056672724827,-0.6770181453318234,1
2021-02-19 04:18:00,124.11000061035156,121.87000274658205,39.43000030517578,2110.39990234375,49.0,941.0,3500.300048828125,176.47000122070312,183.1999969482422,3.829999923706055,1,1,1,1,1,1,1,1,1,1,1.6155938373115803,-0.8163888288813742,1
2021-02-19 04:28:00,124.22000122070312,121.88999938964844,39.68999862670898,2110.39990234375,49.0,941.1500244140624,3499.699951171875,176.5,183.1999969482422,3.829999923706055,1,1,1,1,1,1,1,-1,1,1,1.6203142464565456,-0.14864303805522994,1
2021-02-19 04:38:00,124.6500015258789,122.12000274658205,39.61000061035156,2110.39990234375,49.0,941.0,3500.300048828125,176.4499969482422,183.1999969482422,3.759999990463257,1,1,1,1,1,1,1,1,1,1,1.3332829608835757,-0.5843912519341216,1
2021-02-19 04:48:00,124.58999633789062,121.98999786376952,39.86000061035156,2110.39990234375,49.0,940.719970703125,3500.0,176.4600067138672,183.1999969482422,3.940000057220459,1,1,1,1,1,1,1,1,1,1,1.07372888141479,-0.04996510903847043,1
2021-02-19 04:58:00,124.13999938964844,121.88999938964844,39.34999847412109,2110.39990234375,49.0,940.8599853515624,3500.449951171875,176.42999267578125,183.1999969482422,3.859999895095825,1,1,1,1,1,1,1,-1,1,1,1.3540889113848358,-1.1978995669731562,1
