Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 22:11,369.31,360.87,41.41,"3,747.97",49.96,"1,236.84","4,402.16",178.14,184.94,0.59
2/18/2021 22:21,368.52,360.34,41.41,"3,749.06",50.01,"1,236.48","4,401.68",178.13,184.76,0.62
2/18/2021 22:31,364.97,356.53,41.46,"3,747.97",49.98,"1,237.02","4,397.65",177.96,184.92,0.72
2/18/2021 22:41,359.62,351.44,41.2,"3,750.14",50.01,"1,236.02","4,393.29",177.84,184.94,0.62
2/18/2021 22:51,354.13,346.17,41.18,"3,747.97",49.98,"1,235.29","4,386.75",178.11,184.76,0.66
2/18/2021 23:01,348.7,340.18,41.38,"3,750.14",49.99,"1,235.12","4,380.21",177.92,184.9,0.61
2/18/2021 23:11,344.88,336.53,41.65,"3,749.06",49.99,"1,234.14","4,372.44",177.9,184.69,0.56
2/18/2021 23:21,340.79,332.27,41.3,"3,750.14",49.98,"1,234.15","4,368.85",177.93,184.73,0.67
2/18/2021 23:31,335.52,327.42,41.57,"3,749.06",50.01,"1,234.29","4,363.53",178.05,184.72,0.58
2/18/2021 23:41,331.48,323.22,41.26,"3,749.06",49.99,"1,233.12","4,358.22",178.12,184.69,0.62
2/18/2021 23:51,326.95,318.77,41.61,"3,750.14",50,"1,231.67","4,352.63",177.86,184.75,0.59
2/19/2021 0:01,320.48,312.4,41.28,"3,750.14",49.99,"1,231.76","4,344.71",177.82,184.67,0.62
2/19/2021 0:11,312.5,304.4,41.49,"3,750.14",50.02,"1,230.42","4,334.98",177.97,184.73,0.59
2/19/2021 0:21,296.74,288.57,41.51,"3,750.14",50,"1,229.17","4,318.53",178.05,184.66,0.64
2/19/2021 0:31,282.41,274,41.55,"3,749.06",50,"1,227.90","4,298.82",177.99,184.66,0.59
2/19/2021 0:41,279.38,271.11,41.32,"3,750.14",50,"1,228.00","4,292.09",177.95,184.76,0.61
2/19/2021 0:51,273.29,265.25,41.32,"3,749.06",49.98,"1,224.97","4,283.18",177.88,184.55,0.61
2/19/2021 1:01,268.56,260.22,41.35,"3,749.06",49.99,"1,224.87","4,278.95",177.86,184.8,0.58
2/19/2021 1:11,265.9,257.77,41.46,"3,749.06",50,"1,223.66","4,274.29",178.02,184.71,0.64
2/19/2021 1:21,267.99,259.62,41.24,"3,750.14",50,"1,223.14","4,275.54",177.96,184.87,0.65
2/19/2021 1:31,272.52,264.23,41.27,"3,749.06",50,"1,221.96","4,280.60",177.92,184.68,0.61
2/19/2021 1:41,278.54,270.35,41.73,"3,750.14",49.99,"1,222.04","4,288.26",178,184.76,0.6
2/19/2021 1:51,285.11,276.67,41.64,"3,750.14",50.03,"1,221.08","4,298.07",178,184.82,0.69
2/19/2021 2:01,295.17,286.64,41.37,"3,750.14",49.99,"1,221.33","4,311.09",177.95,184.6,0.65
2/19/2021 2:11,299.98,291.63,41.77,"3,750.14",50.01,"1,222.12","4,322.41",177.87,184.84,0.6
2/19/2021 2:21,304.33,296.1,41.64,"3,750.14",50.03,"1,222.19","4,329.09",178.07,184.63,0.65
2/19/2021 2:31,305.92,297.27,41.49,"3,750.14",50,"1,222.09","4,332.73",177.85,184.72,0.56
2/19/2021 2:41,298.82,290.26,41.48,"3,750.14",50.02,"1,223.93","4,327.76",178,184.66,0.62
2/19/2021 2:51,296.46,287.98,41.59,"3,750.14",50.02,"1,223.65","4,324.93",177.86,184.87,0.61
2/19/2021 3:01,305.95,297.64,41.53,"3,750.14",50.01,"1,223.95","4,335.34",177.97,184.58,0.62
2/19/2021 3:11,309.28,300.86,41.37,"3,750.14",50.03,"1,224.67","4,338.06",178.08,184.75,0.62
2/19/2021 3:21,304.58,295.89,41.33,"3,750.14",50.01,"1,224.75","4,334.06",177.95,184.94,0.55
2/19/2021 3:31,297.8,289.32,41.61,"3,750.14",49.98,"1,223.96","4,324.65",178.05,184.55,0.63
2/19/2021 3:41,295.06,286.4,41.6,"3,750.14",49.97,"1,225.07","4,322.37",178.06,184.89,0.6
2/19/2021 3:51,286.3,278.08,41.52,"3,750.14",50.01,"1,225.30","4,311.44",177.9,184.95,0.57
2/19/2021 4:01,283.98,275.49,41.21,"3,749.06",50.01,"1,223.97","4,308.19",177.9,184.69,0.63
2/19/2021 4:11,279.01,270.62,41.36,"3,748.94",50.01,"1,223.43","4,299.03",177.94,184.68,0.63
2/19/2021 4:21,274.56,265.69,41.37,"3,749.06",50.01,"1,223.69","4,294.02",177.98,184.66,0.67
2/19/2021 4:31,277.94,269.59,41.5,"3,750.14",50,"1,223.26","4,296.15",177.98,184.74,0.6
2/19/2021 4:41,280.65,272.11,41.37,"3,749.06",49.98,"1,223.75","4,299.18",177.97,184.74,0.6
2/19/2021 4:51,284.08,275.73,41.49,"3,750.14",50.01,"1,222.91","4,302.80",178.05,184.72,0.62
2/19/2021 5:01,285.39,276.86,41.43,"3,750.14",50,"1,221.49","4,304.94",177.87,184.73,0.64
2/19/2021 5:11,291.01,282.36,41.48,"3,750.14",50.02,"1,222.77","4,309.75",178.1,184.8,0.62
2/19/2021 5:21,300.28,291.87,41.58,"3,750.14",50.02,"1,223.63","4,324.48",177.95,184.81,0.55
2/19/2021 5:31,303.1,294.64,41.27,"3,749.06",50.01,"1,222.79","4,327.45",178.05,184.62,0.62
2/19/2021 5:41,312.63,304.15,41.23,"3,749.06",49.98,"1,223.45","4,340.39",178.04,184.74,0.59
2/19/2021 5:51,322.82,314.4,41.32,"3,749.06",50.01,"1,225.31","4,353.42",177.99,184.78,0.58
2/19/2021 6:01,324.82,316.22,41.7,"3,750.14",49.98,"1,224.68","4,356.63",178.06,184.76,0.59
2/19/2021 6:11,-,-,-,-,-,-,-,-,-,-
2/19/2021 6:21,-,-,-,-,-,-,-,-,-,-
2/19/2021 6:31,-,-,-,-,-,-,-,-,-,-
2/19/2021 6:41,319.32,310.84,42.01,"3,750.14",50,"1,226.80","4,351.82",178.1,184.47,0.54
2/19/2021 6:51,325.85,317.66,41.4,"3,750.14",50,"1,227.67","4,358.61",178.1,184.64,0.62
2/19/2021 7:01,327.45,319.16,41.19,"3,750.14",49.98,"1,227.86","4,362.23",178.11,184.85,0.59
