Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 22:09:00,109.79000091552734,109.4499969482422,63.63999938964844,2099.0,48.0,658.52001953125,655.97998046875,179.0,279.1600036621094,0.5899999737739563,1,1,1,1,1,1,1,1,1,-1,2.0291848041290494,-0.8380592635381635,1
2021-02-18 22:19:00,109.8000030517578,109.33000183105467,63.709999084472656,2099.0,48.0099983215332,658.3800048828125,655.8400268554688,179.0,279.3500061035156,0.6499999761581421,1,1,1,1,1,1,1,1,1,1,1.9314215154943155,-2.0481710894249376,1
2021-02-18 22:29:00,109.58999633789062,109.02999877929688,63.66999816894531,2100.14990234375,47.9900016784668,658.2100219726562,655.4400024414062,179.0,279.3699951171875,0.5899999737739563,1,1,1,1,1,1,1,1,1,-1,2.021391504617073,-0.5802021650279644,1
2021-02-18 22:39:00,109.63999938964844,109.1500015258789,63.63999938964844,2099.570068359375,47.9900016784668,658.4400024414062,655.6199951171875,179.0,279.1499938964844,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,2.0537106714121505,-0.2463483866356251,1
2021-02-18 22:49:00,109.5999984741211,109.08999633789062,63.709999084472656,2100.14990234375,48.0,658.4299926757812,655.52001953125,179.0,279.260009765625,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,1.9333232729453107,-1.4097863100054153,1
2021-02-18 22:59:00,109.4000015258789,108.88999938964844,63.709999084472656,2100.14990234375,48.0,658.260009765625,655.4600219726562,179.0,279.19000244140625,0.6100000143051147,1,1,1,1,1,1,1,1,1,1,1.9909426024862493,-1.396164533087079,1
2021-02-18 23:09:00,109.1500015258789,109.0199966430664,63.619998931884766,2099.0,48.0,658.2000122070312,655.5,179.0,279.2799987792969,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,2.2298024784142076,-0.807474205726394,1
2021-02-18 23:19:00,109.08999633789062,108.93000030517578,63.709999084472656,2100.719970703125,48.0,658.3300170898438,655.469970703125,179.0,279.1400146484375,0.6100000143051147,1,1,1,1,1,1,1,1,1,1,1.9821766632236506,-1.3688837442596014,1
2021-02-18 23:29:00,109.18000030517578,108.69000244140624,63.68999862670898,2100.719970703125,48.0,658.27001953125,655.469970703125,178.97999572753906,279.2300109863281,0.6200000047683716,1,1,1,1,1,1,1,-1,1,1,2.7314647559332466,-0.041470239360563946,1
2021-02-18 23:39:00,109.33000183105467,108.87999725341795,63.72999954223633,2099.570068359375,48.0,658.3800048828125,655.719970703125,179.0,279.1400146484375,0.5899999737739563,1,1,1,1,1,1,1,1,1,-1,1.8656062808911065,-1.4870914624467846,1
2021-02-18 23:49:00,109.25,108.81999969482422,63.68999862670898,2101.300048828125,48.0,658.3699951171875,655.7899780273438,179.0,279.3699951171875,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,1.9288870439987942,-1.3023286824058955,1
2021-02-18 23:59:00,109.02999877929688,108.87999725341795,63.65999984741211,2099.0,48.0,658.3599853515625,655.530029296875,179.0,279.239990234375,0.6000000238418579,1,1,1,1,1,1,1,1,1,1,2.086621806872903,-1.0560963616543195,1
2021-02-19 00:09:00,109.36000061035156,108.9800033569336,63.66999816894531,2099.0,48.0,658.5700073242188,655.75,178.99000549316406,279.0599975585937,0.6000000238418579,1,1,1,1,1,1,1,1,1,1,2.3458425773498965,-0.40263153641264976,1
2021-02-19 00:19:00,109.75,109.26000213623048,63.66999816894531,2100.14990234375,48.0,658.8200073242188,656.0599975585938,179.0,279.2699890136719,0.6600000262260437,1,1,1,1,1,1,1,1,1,1,1.852043321005181,-1.0677382820059402,1
2021-02-19 00:29:00,109.62000274658205,109.31999969482422,63.68999862670898,2099.570068359375,48.0,658.5999755859375,655.9199829101562,179.0,279.3999938964844,0.6000000238418579,1,1,1,1,1,1,1,1,1,1,1.850746798872636,-1.289374393353994,1
2021-02-19 00:39:00,109.88999938964844,109.23999786376952,63.59999847412109,2099.0,48.0,658.7899780273438,655.9400024414062,179.0,279.04998779296875,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,2.109282060229809,-0.49461220157049063,1
2021-02-19 00:49:00,109.9000015258789,109.3499984741211,63.7599983215332,2100.14990234375,48.0,658.8699951171875,656.0399780273438,178.99000549316406,279.010009765625,0.6700000166893005,1,1,1,1,1,1,1,1,1,1,1.9843695933155565,-0.9675982816144129,1
2021-02-19 00:59:00,109.55999755859376,109.16000366210938,63.7400016784668,2100.719970703125,48.0,658.6099853515625,655.8200073242188,179.0,279.3500061035156,0.6100000143051147,1,1,1,1,1,1,1,1,1,1,1.7387139196134171,-1.6237122157847317,1
2021-02-19 01:09:00,109.51000213623048,109.12000274658205,63.72999954223633,2100.14990234375,48.0,658.4000244140625,655.8200073242188,179.0,279.42999267578125,0.6200000047683716,1,1,1,1,1,1,1,1,1,1,1.7971046529091288,-1.603372243109744,1
