Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 21:23:00,256.3399963378906,128.24000549316406,74.87999725341797,2355.6201171875,49.91999816894531,940.9600219726562,2947.56005859375,177.1999969482422,187.0,0.550000011920929,1,1,1,1,1,-1,-1,-1,1,1,0.7383002311093758,-0.4216655037137056,1
2021-02-18 21:33:00,256.2799987792969,128.14999389648438,74.80999755859375,2356.260009765625,50.02000045776367,940.9600219726562,2947.35009765625,177.1999969482422,186.9900054931641,0.6000000238418579,1,1,1,1,1,-1,-1,-1,-1,1,0.7101075083524473,-0.502275946697085,1
2021-02-18 21:43:00,256.29998779296875,128.22999572753906,75.05000305175781,2356.889892578125,50.08000183105469,940.97998046875,2947.489990234375,177.1999969482422,186.97999572753903,0.5799999833106995,1,1,1,1,1,-1,-1,-1,-1,1,0.60026985185738,-0.4277232714267284,1
2021-02-18 21:53:00,256.3500061035156,128.3000030517578,74.87999725341797,2355.6201171875,49.93999862670898,941.0,2947.47998046875,177.1999969482422,187.0,0.6399999856948853,1,1,1,1,1,-1,-1,-1,1,-1,0.7270547530592452,-0.43271156850651477,1
2021-02-18 22:03:00,256.260009765625,128.0500030517578,74.4800033569336,2355.6201171875,49.93999862670898,940.8699951171876,2947.47998046875,177.1999969482422,187.0,0.5899999737739563,1,1,1,1,1,-1,-1,-1,1,1,0.8594952815846936,-0.6015400940677836,1
2021-02-18 22:13:00,256.32000732421875,128.16000366210938,74.66000366210938,2354.97998046875,50.02999877929688,940.969970703125,2947.489990234375,177.1999969482422,187.0,0.5899999737739563,1,1,1,-1,1,-1,-1,-1,1,1,0.7502302438934318,-0.5704402856101208,1
2021-02-18 22:23:00,256.3099975585937,128.00999450683594,74.61000061035156,2356.889892578125,50.060001373291016,940.8900146484376,2947.429931640625,177.1999969482422,187.0,0.5899999737739563,1,1,1,1,1,-1,-1,-1,1,1,0.7529209904936969,-0.6069675160381138,1
2021-02-18 22:33:00,256.29998779296875,128.07000732421875,74.80999755859375,2356.889892578125,50.09999847412109,940.97998046875,2947.52001953125,177.1999969482422,186.9900054931641,0.6100000143051147,1,1,1,1,-1,-1,-1,-1,-1,1,0.6651497903832508,-0.5402181362147593,1
2021-02-18 22:43:00,256.2900085449219,128.3699951171875,74.4800033569336,2354.97998046875,49.97999954223633,941.1300048828124,2947.39990234375,177.1999969482422,187.0200042724609,0.5699999928474426,1,1,1,-1,1,-1,-1,-1,-1,1,0.8285094409047774,-0.6259438551349007,1
2021-02-18 22:53:00,256.3800048828125,128.35000610351562,74.7699966430664,2355.6201171875,49.97999954223633,941.0999755859376,2947.820068359375,177.1999969482422,187.0,0.5699999928474426,1,1,1,1,1,-1,-1,-1,1,1,0.7354139847606802,-0.4955798578819339,1
