Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 22:00:00,144.72999572753906,143.32000732421875,55.900001525878906,2906.39990234375,53.0,1115.6199951171875,3824.929931640625,177.8000030517578,242.6000061035156,0.1000000014901161,1,1,1,1,1,1,1,-1,1,1,-0.5368357537437325,0.3925655468511449,1
2021-02-18 22:10:00,146.14999389648438,144.4499969482422,55.459999084472656,2906.300048828125,53.0,1116.3499755859375,3822.320068359375,177.7899932861328,242.58999633789065,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.36129482395026763,0.34067138679968906,1
2021-02-18 22:20:00,144.7899932861328,143.1999969482422,55.54999923706055,2905.300048828125,53.0,1116.06005859375,3823.6201171875,177.7899932861328,242.58999633789065,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.3998748644774431,0.3517691873804038,1
2021-02-18 22:30:00,145.58999633789062,144.0800018310547,55.720001220703125,2907.0,53.0,1116.7900390625,3822.169921875,177.7899932861328,242.58999633789065,0.0900000035762786,1,1,1,1,1,1,1,1,1,1,-0.4609951527472689,0.3812899226878724,1
2021-02-18 22:40:00,145.42999267578125,143.83999633789062,55.33000183105469,2906.300048828125,53.0,1116.06005859375,3823.77001953125,177.7899932861328,242.58999633789065,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.3186732153491722,0.3235159726178698,1
2021-02-18 22:50:00,145.6999969482422,144.14999389648438,55.52999877929688,2906.39990234375,53.0,1115.77001953125,3822.169921875,177.7899932861328,242.58999633789065,0.0700000002980232,1,1,1,1,1,1,1,1,1,1,-0.3818334168085957,0.3399273032182398,1
2021-02-18 23:00:00,146.27999877929688,144.64999389648438,55.38999938964844,2905.89990234375,53.0,1116.6400146484375,3822.030029296875,177.7899932861328,242.22999572753903,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.29660375995063265,0.33753702547906744,1
2021-02-18 23:10:00,145.22999572753906,143.9600067138672,55.7400016784668,2906.0,53.0,1116.3499755859375,3821.590087890625,177.7899932861328,242.58999633789065,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.461587317310107,0.3749492210323712,1
2021-02-18 23:20:00,145.3300018310547,143.72999572753906,55.56999969482422,2906.10009765625,53.0,1116.3499755859375,3825.360107421875,177.7899932861328,242.22999572753903,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.3802601634842366,0.36671337235747475,1
2021-02-18 23:30:00,146.14999389648438,144.5800018310547,55.45000076293945,2905.800048828125,53.0,1116.06005859375,3821.010009765625,177.7899932861328,242.22999572753903,0.1000000014901161,1,1,1,1,1,1,1,1,1,1,-0.3084811050853163,0.33277481337043757,1
