Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION,WHP [psi] anomaly,FLP [psi] anomaly,I_MOTOR anomaly,V_MOTOR anomaly,MOT_FREQ anomaly,Pi [psi] anomaly,Pd [psi] anomaly,Ti [Deg F] anomaly,Tm [Deg F] anomaly,VIBRATION anomaly,PCA1,PCA2,Anomoly
2021-02-18 22:06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-18 22:16:00,155.4600067138672,111.29000091552734,66.88999938964844,3563.449951171875,53.0,1172.199951171875,1170.9000244140625,177.60000610351562,257.0,0.5799999833106995,1,1,1,1,1,1,1,1,1,-1,-0.9800579429631895,0.0077512846616682425,1
2021-02-18 22:26:00,155.97000122070312,112.4499969482422,66.94000244140625,3563.449951171875,53.0,1172.02001953125,1171.43994140625,177.61000061035156,257.0299987792969,0.6600000262260437,1,1,1,1,1,1,1,1,1,1,-0.9815242845668426,0.0068946428489373626,1
2021-02-18 22:36:00,155.74000549316406,111.76000213623048,66.77999877929688,3562.590087890625,53.0,1172.219970703125,1171.3900146484375,177.60000610351562,257.0400085449219,0.6700000166893005,1,1,1,-1,1,1,1,1,1,1,-0.9788053850592741,0.01102985375757637,1
2021-02-18 22:46:00,155.6300048828125,111.7300033569336,66.91000366210938,3563.449951171875,53.0,1172.219970703125,1171.260009765625,177.61000061035156,257.0299987792969,0.6800000071525574,1,1,1,1,1,1,1,1,1,1,-0.9810099631584268,0.007666657975745941,1
2021-02-18 22:56:00,155.77000427246094,111.6999969482422,66.87000274658203,3563.449951171875,53.0,1172.2099609375,1171.1400146484375,177.6199951171875,257.0199890136719,0.6899999976158142,1,1,1,1,1,1,1,1,1,1,-0.9801846277433957,0.00859720242619775,1
2021-02-18 23:06:00,155.9600067138672,112.12999725341795,66.8499984741211,3563.449951171875,53.0,1172.3299560546875,1171.22998046875,177.6300048828125,257.0400085449219,0.6899999976158142,1,1,1,1,1,1,1,1,1,1,-0.9802031908373231,0.00936731285658589,1
2021-02-18 23:16:00,155.4199981689453,111.87000274658205,66.83999633789062,3563.449951171875,53.0,1172.0400390625,1171.3199462890625,177.60000610351562,257.0,0.6700000166893005,1,1,1,1,1,1,1,1,1,1,-0.9794330620206254,0.009202130961354747,1
2021-02-18 23:26:00,155.47999572753906,111.72000122070312,66.80999755859375,3563.449951171875,53.0,1172.1800537109375,1171.260009765625,177.60000610351562,257.1099853515625,0.6600000262260437,1,1,1,1,1,1,1,1,1,1,-0.9794911922470719,0.010380092480045303,1
2021-02-18 23:36:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-18 23:46:00,156.14999389648438,112.4499969482422,66.80999755859375,3563.449951171875,53.0,1172.1500244140625,1171.260009765625,177.61000061035156,257.0400085449219,0.699999988079071,1,1,1,1,1,1,1,1,1,1,-0.9792025618456295,0.01017494668006057,1
2021-02-18 23:56:00,156.19000244140625,112.2300033569336,66.86000061035156,3563.449951171875,53.0,1172.030029296875,1171.2099609375,177.60000610351562,257.0199890136719,0.6600000262260437,1,1,1,1,1,1,1,1,1,1,-0.9797596154792945,0.008676087669814711,1
2021-02-19 00:06:00,156.0500030517578,112.13999938964844,66.80999755859375,3563.449951171875,53.0,1172.3399658203125,1171.2900390625,177.6199951171875,257.0799865722656,0.6600000262260437,1,1,1,1,1,1,1,1,1,1,-0.97968045207862,0.01051272740731072,1
2021-02-19 00:16:00,155.52999877929688,111.73999786376952,66.8499984741211,3562.590087890625,53.0,1172.239990234375,1171.22998046875,177.61000061035156,257.04998779296875,0.6499999761581421,1,1,1,-1,1,1,1,1,1,1,-0.9800231162423825,0.009240815142804046,1
2021-02-19 00:26:00,155.5800018310547,111.91999816894533,66.7699966430664,3563.449951171875,53.0,1172.25,1171.27001953125,177.6199951171875,257.0299987792969,0.6399999856948853,1,1,1,1,1,1,1,1,1,1,-0.9786228094944183,0.011278826743617526,1
2021-02-19 00:36:00,155.7899932861328,111.72000122070312,66.81999969482422,3563.449951171875,53.0,1172.1400146484375,1171.3299560546875,177.60000610351562,257.0299987792969,0.6899999976158142,1,1,1,1,1,1,1,1,1,1,-0.979328536041911,0.009885463215034007,1
2021-02-19 00:46:00,155.30999755859375,111.37000274658205,66.83000183105469,3563.449951171875,53.0,1172.02001953125,1171.0,177.61000061035156,256.989990234375,0.6800000071525574,1,1,1,1,1,1,1,1,1,1,-0.978927590460864,0.009223127247673062,1
2021-02-19 00:56:00,155.58999633789062,111.88999938964844,66.73999786376953,3563.449951171875,53.0,1171.949951171875,1171.1199951171875,177.6199951171875,257.0199890136719,0.5799999833106995,1,1,-1,1,1,1,1,1,1,-1,-0.9775811728781058,0.0116784764325538,1
2021-02-19 01:06:00,156.1199951171875,111.66999816894533,67.0,3563.449951171875,53.0,1172.449951171875,1170.949951171875,177.60000610351562,257.0,0.699999988079071,1,1,1,1,1,1,1,1,1,1,-0.9823252492102025,0.005189628324468146,1
2021-02-19 01:16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 01:26:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 01:36:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 01:46:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 01:56:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 02:06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 02:16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 02:26:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
2021-02-19 02:36:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,6.189269299524463,0.00773888822979775,1
